text,label,risk_code
just wanted to say Everything is around me and I have no will to rebuild. honestly,High,2
My garden is blooming and it brings me such peace. anyone else feel this way,Low,0
lately Just baked cookies for my neighbors. Spreading kindness feels good. it is what it is,Low,0
can't help but feel Feel like I'm walking through fog. Nothing seems clear or real. i guess,Medium,1
just wanted to say My anxiety is making it hard to eat. I've lost my appetite completely. i guess,Medium,1
today i feel I've stopped taking my medication because I don't care what happens to me. i guess,High,2
i think I've been researching methods to end my life. I'm scared of myself. myself. need to talk about this,High,2
can't help but feel Spent the day at the beach. The ocean always calms my mind.,Low,0
honestly Death seems like the only peaceful option left for someone like me. me. just venting,High,2
lately I've been thinking about hurting myself. The pain inside is unbearable. not sure what to do,High,2
right now Listened to my favorite album today. Music is good for the soul.,Low,0
just wanted to say The world would be better without me. I'm nothing but a burden. anyone else feel this way,High,2
can't help but feel Feeling stuck in life. Like I'm not making any progress at all. not sure what to do,Medium,1
I keep putting things off because nothing feels worth the effort.,Medium,1
"can't help but feel My mood swings are getting worse. One minute I'm fine, the next I'm not. not sure what to do",Medium,1
can't help but feel Grateful for the support system I have. Life has its ups and downs but I'm okay.,Low,0
can't help but feel I don't enjoy the things I used to. Everything feels flat and boring.,Medium,1
tbh I wake up disappointed that I woke up at all. just venting,High,2
feeling like Feeling stuck in life. Like I'm not making any progress at all. all. need to talk about this,Medium,1
today i feel Feeling disconnected from friends. Everyone seems to be moving on without me.,Medium,1
just wanted to to say I wrote my final note today. I'm so tired of fighting this battle alone. it is what it is,High,2
just wanted to say Can't focus on anything productive. My brain feels scattered. not what to do,Medium,1
i think Listened to my favorite album today. Music is good for the soul. just venting,Low,0
i think No one in this world would miss me. I'm invisible and insignificant. just venting,High,2
right now Some days are okay but most feel gray and and empty. just venting,Medium,1
honestly I've been having bad dreams that leave me feeling unsettled all day. anyone else feel this way,Medium,1
tbh I've lost all hope. Nothing is ever going to get better. Why try. just venting,High,2
tbh Can't stop overthinking about my past mistakes. The guilt is overwhelming. overwhelming.,Medium,1
i think Had a fun game night with friends. Laughter is the best medicine. need to talk about this,Low,0
today i feel Finally finished decorating my apartment. It really feels like home now. just venting,Low,0
today i feel Finally finished decorating my apartment. It really feels like home now. it is what it is,Low,0
"tbh Love spending weekends with my family, just doing simple things together.",Low,0
just wanted to say Got creative and painted something today. Art Art is therapeutic. not sure what to do,Low,0
just wanted to say I've stopped taking my medication because I don't care what happens to me. i guess,High,2
feeling like Feeling overwhelmed with responsibilities. Not sure how to manage manage everything. need to talk about this,Medium,1
right now I hate waking up every morning to face another day of this nightmare. need to talk about this,High,2
can't help but feel I've been self-harming to cope with the emotional pain. It's the only relief. i guess,High,2
can't help but feel Had a productive meeting today. Things are moving in the right direction. it is what it is,Low,0
tbh This is my last cry for help. If no one hears me I'm done trying. not sure what to do,High,2
just wanted to say I feel like a burden to my friends and family. They'd be better off. honestly,Medium,1
today i feel Spent the day at the beach. The ocean always calms my mind. need to talk about this,Low,0
just wanted to say Feeling overwhelmed with responsibilities. Not sure how to manage everything. i guess,Medium,1
today i feel I'm a mistake that should never have been born into this world. need to talk about this,High,2
right now Got creative and painted something today. Art is therapeutic.,Low,0
can't help but feel I fantasize about not existing. The world would keep spinning without me. i guess,High,2
tbh I don't want to wake up tomorrow. Sleep is the only escape. just venting,High,2
tbh Got Got a compliment at work today. Made my whole day brighter.,Low,0
lately Enjoying some time alone. Self care is important. not sure what to do,Low,0
today i feel Had a good conversation with my therapist. Feeling hopeful about progress. just venting,Low,0
tbh Feeling a bit down today. Work has been really stressful lately. honestly,Medium,1
i think I've been having thoughts about ending it all. The darkness is consuming me. need to talk about this,High,2
lately I've been isolating myself more and more. People drain my energy. energy. i guess,Medium,1
Woke up feeling well-rested for the first time in a while. Simple pleasures. just venting,Low,0
just wanted to say I've stopped taking my medication because I don't care what what happens to me. just venting,High,2
today i feel I've been having bad dreams that leave me feeling unsettled all day. honestly,Medium,1
I've been cutting myself frequently. The scars are getting deeper.,High,2
been Feeling optimistic about the future and the possibilities ahead. just venting,Low,0
feeling like I wrote my final today. I'm so tired of fighting this battle alone.,High,2
tbh Spent the day at the beach. The ocean always calms my mind. it is what it is,Low,0
today i feel Feeling overwhelmed with responsibilities. Not sure how to manage everything. not not sure what to do,Medium,1
honestly Just came back from vacation feeling refreshed and recharged. it is what it is,Low,0
right now I've stopped eating and caring about myself. What's the point anything. need to talk about this,High,2
just wanted to say Everything feels like too much effort lately. Even basic tasks are hard. honestly,Medium,1
today i feel The voices in my head keep telling me I'm worthless and should give up.,High,2
lately Got creative and painted something today. Art is,Low,0
tbh Feeling disconnected from from friends. Everyone seems to be moving on without me.,Medium,1
just to say I'm always on edge waiting for something bad to happen. need to talk about this,Medium,1
"lately Life is meaningless. just existing, not living. I want it to stop. just venting",High,2
right now Finished a big project at work. Feeling relieved and proud. it is what it is,Low,0
feeling like Feel like I'm walking through fog. Nothing seems clear or real. just venting,Medium,1
feeling like I can't remember what happiness feels like. It's been dark for so long. just venting,High,2
feeling like Some days are okay but most feel gray and empty. it is what it it is,Medium,1
been thinking Feeling exhausted all the time even though I haven't done much. need to talk about this,Medium,1
honestly Tried a new restaurant and the food was amazing! i guess,Low,0
lately I want the pain to stop. I just everything to stop permanently. just venting,High,2
i think Trying out a new recipe tonight. Cooking always makes me happy. i guess,Low,0
lately Feeling content with where I in life right now. i guess,Low,0
i think Things have been tough lately. Struggling to find motivation to do anything. honestly,Medium,1
Every day is torture. I don't know how much more I can take. need to talk about this,High,2
today i feel Can't stop overthinking about my past mistakes. The guilt is overwhelming. just venting,Medium,1
honestly Everything feels like too much effort lately. Even basic tasks are hard. just venting,Medium,1
feeling like Listened to my favorite album today. Music is good for the soul.,Low,0
just wanted to say My existence is meaningless suffering. I'm tired of pretending otherwise.,High,2
just wanted to say I wish I could just disappear forever. Nobody would even care. need to talk about this,High,2
today i feel I feel like a burden to my friends and family. They'd be better off. honestly,Medium,1
can't help but feel I've been drinking heavily to numb the pain. Nothing else works anymore. anyone else feel this way,High,2
been thinking I can't take this pain anymore. Every day is a struggle to survive. it is what it is,High,2
lately Discovered a new hiking trail today. Adventure awaits!,Low,0
today i feel The weekend used to be something I looked forward to. Now it's just more emptiness. anyone else feel this way,Medium,1
today i feel My relationships feel strained. I don't know how to communicate what I feel.,Medium,1
today i feel I've been self-harming to cope with the emotional pain. It's the only relief. it is what it is,High,2
can't help but feel I've been thinking about hurting myself. The pain inside is unbearable. not sure what to do,High,2
lately Enjoying a peaceful evening with a good book and some tea. it is what it is,Low,0
can't help but feel Feeling lonely even when I'm around people. No one truly understands. honestly,Medium,1
lately Having trouble concentrating. My thoughts keep wandering to negative places. anyone feel this way,Medium,1
feeling like I keep comparing myself to others and it makes me feel inadequate.,Medium,1
"i think Love spending weekends with my family, just doing simple things together. anyone else feel this",Low,0
i think Started avoiding phone calls and messages. Social interaction feels exhausting. i guess,Medium,1
Had a productive meeting today. Things are moving in the right direction. i guess,Low,0
lately The pressure to succeed is crushing me. I feel like a failure. need to talk about this,Medium,1
today i feel I want the pain to stop. I just want everything to stop permanently. i guess,High,2
feeling like Volunteered at the shelter today. Giving back feels meaningful. anyone else feel this way,Low,0
"feeling like Love spending weekends with my family, just doing simple things together. anyone else feel this way",Low,0
right now I'm a mistake that should never have been born into this world.,High,2
honestly I can't remember what happiness feels like. It's been dark for so long. honestly,High,2
tbh Feeling content where I am in life right now. i guess,Low,0
today i feel Had a productive meeting today. Things are moving in the right direction.,Low,0
can't help but feel Had a productive meeting today. Things are moving in the right direction. anyone else feel this way,Low,0
honestly I'm always tired but can't sleep. This cycle is really frustrating. it is what it is,Medium,1
can't help but feel Can't seem to shake this feeling of worry. Everything feels uncertain. not sure what to,Medium,1
just wanted to say I feel trapped in a life I never wanted. There's no escape from this misery. need to talk about this,High,2
honestly I've stopped eating and caring about myself. What's the point of anything. not sure what to do,High,2
feeling like I pretend to to be fine around others but inside I'm struggling. just venting,Medium,1
tbh Learning a new skill and making progress. Small wins matter! just venting,Low,0
lately I'm a mistake that should never have been born into this world. just venting,High,2
honestly I'm tired of pretending everything is okay when it really isn't. just venting,Medium,1
been thinking Watched a great movie with friends. Sometimes simple things bring joy.,Low,0
been thinking I've been thinking about myself. The pain inside is unbearable. honestly,High,2
I'm always tired but can't sleep. This cycle is really frustrating.,Medium,1
feeling like I wish I could just disappear forever. Nobody would even care. just venting,High,2
feeling like Watched a great movie with friends. Sometimes simple things bring joy. not sure what to do,Low,0
just wanted to say Feel like I'm walking through fog. Nothing seems clear or real. it is what it is,Medium,1
right now Started reading a new book and I'm really enjoying it so far. honestly,Low,0
tbh Spent time with family this weekend. Feeling grateful. honestly,Low,0
today i feel I've been eating a lot more than usual. Food is my only comfort right now. honestly,Medium,1
Feeling optimistic about the future and the possibilities ahead. just venting,Low,0
today i feel Just baked cookies for my neighbors. Spreading kindness feels honestly,Low,0
I feel like I'm drowning and no one can hear me screaming for help. honestly,High,2
can't help but feel I fantasize about not existing. The world would keep spinning without me. not sure what to do,High,2
I've given away my possessions. I won't need them where I'm going. anyone else feel this way way,High,2
been thinking I've lost all hope. Nothing is ever going to get better. Why try. it is what it is,High,2
can't help but feel Today was a normal day and that's perfectly fine with me. anyone else feel this way,Low,0
"today i feel Life is meaningless. I'm just existing, not living. I want it to stop. just venting",High,2
honestly Got creative and painted something today. Art is therapeutic. therapeutic. honestly,Low,0
right now No one cares about me. I'm completely alone in this dark world. honestly,High,2
right now Feeling like I'm not good enough for anything. Low confidence days. just venting,Medium,1
tbh My relationships feel strained. I don't know how to communicate what I feel. it is what it is,Medium,1
I pretend to be fine around others but inside I'm struggling. it is what it is,Medium,1
right right now I feel like I'm drowning and no one can hear me screaming for help. just venting,High,2
feeling like I feel like a burden to my friends and family. They'd be better off. not sure what to do,Medium,1
tbh I've been self-harming to cope with the emotional pain. the only relief.,High,2
lately I feel like I'm drowning and no one can hear me screaming for help.,High,2
feeling like I keep putting things off because nothing feels worth the effort.,Medium,1
lately Enjoying the beautiful weather outside. Going for a walk in the park. anyone else feel this way,Low,0
honestly Volunteered at the shelter today. Giving back feels meaningful. honestly,Low,0
feeling like Feeling I'm not good enough for anything. Low confidence days. need to talk about this,Medium,1
just wanted to say Just baked cookies for my neighbors. Spreading kindness feels good. anyone else feel this way,Low,0
honestly Had a fun day exploring the local farmers not sure what to do,Low,0
honestly My team won the game tonight! Exciting times with good friends. anyone else feel this way,Low,0
i think I don't see the point in living anymore. Everything feels hopeless and dark. anyone else feel this way,High,2
today i feel Just finished a wonderful dinner with friends. Life is good. anyone else feel this way,Low,0
i think Just came back back from vacation feeling refreshed and recharged. need to talk about this,Low,0
lately Feel like I'm walking through fog. Nothing seems clear or real. honestly honestly,Medium,1
feeling like I pretend to be fine around others but inside I'm struggling. anyone else feel feel this way,Medium,1
honestly Had a good conversation with my therapist. Feeling hopeful about progress. anyone else feel this way,Low,0
right now Feeling content with where I am in life right now. i guess,Low,0
"Life is meaningless. I'm just existing, not living. I want it to to stop. just venting",High,2
tbh Feeling defeated after another rejection. Starting to lose hope. anyone else feel this way,Medium,1
I keep replaying conversations in my head wondering what I did wrong. not what to do,Medium,1
I don't see the point in living anymore. Everything feels hopeless and dark. just venting,High,2
can't help but feel The voices in my head keep telling me I'm worthless and should give up. it is what it is,High,2
I don't see the point in living anymore. Everything feels hopeless and dark. need to talk about this,High,2
tbh Listened to my favorite album today. Music is good for the soul. need to talk about this,Low,0
honestly I can't function anymore. existence is an overwhelming burden. need to talk about this,High,2
feeling like Work stress is getting to me. I feel like I'm always behind. not sure what to do,Medium,1
"tbh Life is meaningless. I'm just existing, not living. I want it to stop. i guess",High,2
today i feel My is blooming and it brings me such peace. i guess,Low,0
feeling like Finally got the promotion I've been working toward. Hard work pays off! i guess,Low,0
right now Got creative and painted something today. Art is therapeutic. need to talk about this,Low,0
been thinking This is my last cry for help. If no one hears me I'm done trying. not sure what to do,High,2
tbh Enjoying the beautiful weather outside. Going for a walk in the park. park.,Low,0
lately Can't seem to shake this feeling of worry. Everything feels uncertain. uncertain. anyone else feel this way,Medium,1
lately Learning a new skill and making progress. Small wins matter! it is what it is,Low,0
lately I wish I could just disappear forever. Nobody would even care. not sure what to do,High,2
can't help but feel Got creative and painted something today. today. Art is therapeutic. it is what it is,Low,0
tbh Feeling stuck in life. Like I'm not making any progress at all. need to to talk about this,Medium,1
a big project at work. Feeling relieved and proud.,Low,0
been thinking Feeling invisible at work and in my personal life. i guess,Medium,1
tbh Sometimes I wonder if anyone would notice if I just disappeared for a while. not sure what to do,Medium,1
lately Made someone smile today and that made my day too. anyone else feel this way,Low,0
I've stopped eating and caring about myself. What's the point of anything. need to talk about this,High,2
tbh Everything is crumbling around me and I have no will to rebuild. not sure what to do,High,2
today i feel Feeling like I'm not good enough for anything. Low confidence days. anyone else feel this way,Medium,1
just wanted to say Spent the day at the beach. The ocean always calms my mind. anyone else feel this way,Low,0
